ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,46.2,7,-3.3,49.5
CA-003,Alpine County,California,24.8,5,-5.5,30.3
CA-005,Amador County,California,38.9,1,-6.8,45.7
CA-007,Butte County,California,42.5,7,-4.4,46.9
CA-009,Calaveras County,California,40.2,3,-5.7,45.9
CA-011,Colusa County,California,44.4,4,-4.2,48.6
CA-013,Contra Costa County,California,46.4,6,-3.6,50
CA-015,Del Norte County,California,35.3,1,-6.2,41.5
CA-017,El Dorado County,California,34.5,2,-6.8,41.3
CA-019,Fresno County,California,38.2,9,-4.1,42.3
CA-021,Glenn County,California,42.8,5,-4.3,47.1
CA-023,Humboldt County,California,39.9,5,-4.2,44.1
CA-025,Imperial County,California,53.8,6,-4.6,58.4
CA-027,Inyo County,California,39.6,7,-5.1,44.7
CA-029,Kern County,California,43.7,8,-4.1,47.8
CA-031,Kings County,California,48.6,27,-1.9,50.5
CA-033,Lake County,California,39,1,-6,45
CA-035,Lassen County,California,27.1,14,-5.5,32.6
CA-037,Los Angeles County,California,45,8,-4.5,49.5
CA-039,Madera County,California,38.8,7,-4.1,42.9
CA-041,Marin County,California,46.5,9,-3.3,49.8
CA-043,Mariposa County,California,36,3,-6.3,42.3
CA-045,Mendocino County,California,41.1,2,-4.8,45.9
CA-047,Merced County,California,48,25,-1.9,49.9
CA-049,Modoc County,California,27.1,15,-5.1,32.2
CA-051,Mono County,California,23.3,6,-5.9,29.2
CA-053,Monterey County,California,45.5,12,-3.3,48.8
CA-055,Napa County,California,44.8,8,-3.6,48.4
CA-057,Nevada County,California,32.8,3,-6.9,39.7
CA-059,Orange County,California,51.3,9,-3.7,55
CA-061,Placer County,California,34.8,3,-6.3,41.1
CA-063,Plumas County,California,28.4,7,-5.5,33.9
CA-065,Riverside County,California,48.8,5,-4.9,53.7
CA-067,Sacramento County,California,47.6,11,-3.2,50.8
CA-069,San Benito County,California,42.8,8,-4.1,46.9
CA-071,San Bernardino County,California,45.3,5,-5.3,50.6
CA-073,San Diego County,California,47.6,10,-3.7,51.3
CA-075,San Francisco County,California,48.6,17,-2.5,51.1
CA-077,San Joaquin County,California,48.4,23,-2,50.4
CA-079,San Luis Obispo County,California,45.2,12,-3.4,48.6
CA-081,San Mateo County,California,47.6,21,-2.3,49.9
CA-083,Santa Barbara County,California,45.2,11,-3.4,48.6
CA-085,Santa Clara County,California,44.2,4,-3.9,48.1
CA-087,Santa Cruz County,California,47.2,21,-2.2,49.4
CA-089,Shasta County,California,36,3,-5.7,41.7
CA-091,Sierra County,California,27.6,6,-6,33.6
CA-093,Siskiyou County,California,30.1,4,-5.7,35.8
CA-095,Solano County,California,47.5,9,-3,50.5
CA-097,Sonoma County,California,45,6,-4,49
CA-099,Stanislaus County,California,47,17,-2.6,49.6
CA-101,Sutter County,California,47.5,12,-3.2,50.7
CA-103,Tehama County,California,39.4,2,-6,45.4
CA-105,Trinity County,California,34.7,2,-5.1,39.8
CA-107,Tulare County,California,36.6,6,-4.2,40.8
CA-109,Tuolumne County,California,30.8,3,-6.5,37.3
CA-111,Ventura County,California,43.2,13,-3.5,46.7
CA-113,Yolo County,California,46.6,9,-3.5,50.1
CA-115,Yuba County,California,43.4,4,-5.1,48.5