S.No.,State ,City,ICAO,FAA,IATA,Airport,Role,Enplanements
1,Alabama,Birmingham,KBHM,BHM,BHM,Birmingham–Shuttlesworth International Airport,P-S,1081328
2,Alabama,Dothan,KDHN,DHN,DHN,Dothan Regional Airport,P-N,37047
3,Alabama,Huntsville,KHSV,HSV,HSV,Huntsville International Airport (Carl T. Jones Field),P-S,459759
4,Alabama,Mobile,KMOB,MOB,MOB,Mobile Regional Airport,P-N,236007
5,Alabama,Montgomery,KMGM,MGM,MGM,Montgomery Regional Airport (Dannelly Field),P-N,129033
6,Alaska,Anchorage,PAMR,MRI,MRI,Merrill Field,P-N,22907
7,Alaska,Anchorage,PANC,ANC,ANC,Ted Stevens Anchorage International Airport,P-M,2184959
8,Alaska,Bethel,PABE,BET,BET,Bethel Airport (also see Bethel Seaplane Base),P-N,105877
9,Alaska,Cordova,PACV,CDV,CDV,Merle K. (Mudhole) Smith Airport,P-N,15058
10,Alaska,Deadhorse,PASC,SCC,SCC,Deadhorse Airport (Prudhoe Bay Airport),P-N,64245
11,Alaska,Dillingham,PADL,DLG,DLG,Dillingham Airport,P-N,25988
12,Alaska,Fairbanks,PAFA,FAI,FAI,Fairbanks International Airport,P-S,450694
13,Alaska,Gustavus,PAGS,GST,GST,Gustavus Airport,P-N,10305
14,Alaska,Homer,PAHO,HOM,HOM,Homer Airport,P-N,30972
15,Alaska,Juneau,PAJN,JNU,JNU,Juneau International Airport,P-N,306512
16,Alaska,Kenai,PAEN,ENA,ENA,Kenai Municipal Airport,P-N,68044
17,Alaska,Ketchikan,PAKT,KTN,KTN,Ketchikan International Airport,P-N,117728
18,Alaska,King Salmon,PAKN,AKN,AKN,King Salmon Airport,P-N,29914
19,Alaska,Klawock,PAKW,AKW,KLW,Klawock Airport (also see Klawock Seaplane Base),P-N,14157
20,Alaska,Kodiak,PADQ,ADQ,ADQ,Kodiak Airport (Benny Benson State Airport),P-N,72905
21,Alaska,Kotzebue,PAOT,OTZ,OTZ,Ralph Wien Memorial Airport,P-N,46305
22,Alaska,Nome,PAOM,OME,OME,Nome Airport,P-N,46645
23,Alaska,Petersburg,PAPG,PSG,PSG,Petersburg James A. Johnson Airport,P-N,20690
24,Alaska,Sitka,PASI,SIT,SIT,Sitka Rocky Gutierrez Airport,P-N,80366
25,Alaska,Unalaska,PADU,DUT,DUT,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,19099
26,Alaska,Utqiaġvik (Barrow),PABR,BRW,BRW,Wiley Post–Will Rogers Memorial Airport,P-N,31898
27,Alaska,Wrangell,PAWG,WRG,WRG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,12100
28,Alaska,Yakutat,PAYA,YAK,YAK,Yakutat Airport (also see Yakutat Seaplane Base),P-N,10899
29,Arizona,Flagstaff,KFLG,FLG,FLG,Flagstaff Pulliam Airport,P-N,115596
30,Arizona,Mesa,KIWA,IWA,AZA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,795407
31,Arizona,Page,KPGA,PGA,PGA,Page Municipal Airport,P-N,14340
32,Arizona,Phoenix,KPHX,PHX,PHX,Phoenix Sky Harbor International Airport,P-L,18940287
33,Arizona,Prescott,KPRC,PRC,PRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,23598
34,Arizona,Tucson,KTUS,TUS,TUS,Tucson International Airport,P-S,1323536
35,Arizona,Yuma,KNYL,NYL,YUM,Yuma International Airport / MCAS Yuma,P-N,110182
36,Arizona,Fayetteville,KXNA,XNA,XNA,Northwest Arkansas National Airport,P-S,598787
37,Arizona,Fort Smith,KFSM,FSM,FSM,Fort Smith Regional Airport,P-N,45369
38,Arizona,Little Rock,KLIT,LIT,LIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,827922
39,Arizona,Texarkana,KTXK,TXK,TXK,Texarkana Regional Airport (Webb Field),P-N,26888
40,California,Arcata/Eureka,KACV,ACV,ACV,California Redwood Coast–Humboldt County Airport,P-N,94652
41,California,Bakersfield,KBFL,BFL,BFL,Meadows Field Airport,P-N,131327
42,California,Burbank,KBUR,BUR,BUR,Hollywood Burbank Airport ,P-M,1942417
43,California,Fresno,KFAT,FAT,FAT,Fresno Yosemite International Airport,P-S,960594
44,California,Long Beach,KLGB,LGB,LGB,Long Beach Airport ,P-S,1039432
45,California,Los Angeles,KLAX,LAX,LAX,Los Angeles International Airport,P-L,23663410
46,California,Monterey,KMRY,MRY,MRY,Monterey Regional Airport,P-N,188658
47,California,Oakland,KOAK,OAK,OAK,Oakland International Airport,P-M,4011953
48,California,Ontario,KONT,ONT,ONT,Ontario International Airport,P-M,2201528
49,California,Orange County,KSNA,SNA,SNA,John Wayne Airport,P-M,3807205
50,California,Palm Springs,KPSP,PSP,PSP,Palm Springs International Airport,P-S,1044045
51,California,Redding,KRDD,RDD,RDD,Redding Municipal Airport,P-N,58295
52,California,Sacramento,KSMF,SMF,SMF,Sacramento International Airport,P-M,4760275
53,California,San Bernardino,KSBD,SBD,SBD,San Bernardino International Airport,P-L,20000
54,California,San Diego,KSAN,SAN,SAN,San Diego International Airport,P-L,7836360
55,California,San Francisco,KSFO,SFO,SFO,San Francisco International Airport,P-L,11725347
56,California,San Jose,KSJC,SJC,SJC,Norman Y. Mineta San José International Airport,P-M,3619690
57,California,San Luis Obispo,KSBP,SBP,SBP,San Luis Obispo County Regional Airport,P-N,200634
58,California,Santa Barbara,KSBA,SBA,SBA,Santa Barbara Airport,P-S,440229
59,California,Santa Maria,KSMX,SMX,SMX,Santa Maria Airport ,P-N,27916
60,California,Santa Rosa,KSTS,STS,STS,Charles M. Schulz–Sonoma Airport,P-N,216059
61,California,Stockton,KSCK,SCK,SCK,Stockton Metropolitan Airport,P-N,69235
62,Colorado,Alamosa,KALS,ALS,ALS,San Luis Valley Regional Airport ,P-N,11987
63,Colorado,Aspen,KASE,ASE,ASE,Aspen/Pitkin County Airport ,P-N,248781
64,Colorado,Colorado Springs,KCOS,COS,COS,City of Colorado Springs Municipal Airport,P-S,941917
65,Colorado,Denver,KDEN,DEN,DEN,Denver International Airport,P-L,28645527
66,Colorado,Durango,KDRO,DRO,DRO,Durango–La Plata County Airport,P-N,200245
67,Colorado,Eagle/Vail,KEGE,EGE,EGE,Eagle County Regional Airport,P-N,201752
68,Colorado,Grand Junction,KGJT,GJT,GJT,Grand Junction Regional Airport (Walker Field),P-N,252290
69,Colorado,Gunnison,KGUC,GUC,GUC,Gunnison–Crested Butte Regional Airport,P-N,38783
70,Colorado,Hayden,KHDN,HDN,HDN,Yampa Valley Airport (Yampa Valley Regional),P-N,150142
71,Colorado,Montrose,KMTJ,MTJ,MTJ,Montrose Regional Airport,P-N,188355
72,Connecticut,Hartford,KBDL,BDL,BDL,Bradley International Airport,P-M,2273259
73,Connecticut,New Haven,KHVN,HVN,HVN,Tweed-New Haven Airport,P-N,29732
74,Delaware,Wilmington,KILG,ILG,ILG,Wilmington Airport,P-N,12476
75,Florida,Daytona Beach,KDAB,DAB,DAB,Daytona Beach International Airport,P-N,275166
76,Florida,Fort Lauderdale,KFLL,FLL,FLL,Fort Lauderdale–Hollywood International Airport,P-L,13598994
77,Florida,Fort Myers,KRSW,RSW,RSW,Southwest Florida International Airport,P-M,5080805
78,Florida,Fort Walton Beach,KVPS,VPS,VPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,973477
79,Florida,Gainesville,KGNV,GNV,GNV,Gainesville Regional Airport,P-N,200444
80,Florida,Jacksonville,KJAX,JAX,JAX,Jacksonville International Airport,P-M,2425685
81,Florida,Key West,KEYW,EYW,EYW,Key West International Airport,P-S,741130
82,Florida,Melbourne,KMLB,MLB,MLB,Melbourne Orlando International Airport,P-N,176820
83,Florida,Miami,KMIA,MIA,MIA,Miami International Airport,P-L,17500096
84,Florida,Orlando,KMCO,MCO,MCO,Orlando International Airport,P-L,19618838
85,Florida,Panama City,KECP,ECP,ECP,Northwest Florida Beaches International Airport,P-S,794846
86,Florida,Pensacola,KPNS,PNS,PNS,Pensacola International Airport,P-S,1168575
87,Florida,Punta Gorda,KPGD,PGD,PGD,Punta Gorda Airport,P-S,783397
88,Florida,Sanford,KSFB,SFB,SFB,Orlando Sanford International Airport,P-S,1174471
89,Florida,Sarasota,KSRQ,SRQ,SRQ,Sarasota–Bradenton International Airport,P-S,1574063
90,Florida,St. Petersburg,KPIE,PIE,PIE,St. Pete–Clearwater International Airport,P-S,1021007
91,Florida,Tallahassee,KTLH,TLH,TLH,Tallahassee International Airport,P-N,319886
92,Florida,Tampa,KTPA,TPA,TPA,Tampa International Airport,P-L,8847197
93,Florida,West Palm Beach,KPBI,PBI,PBI,Palm Beach International Airport,P-M,2567897
94,Georgia,Albany,KABY,ABY,ABY,Southwest Georgia Regional Airport,P-N,39422
95,Georgia,Atlanta,KATL,ATL,ATL,Hartsfield–Jackson Atlanta International Airport,P-L,51865797
96,Georgia,Augusta,KAGS,AGS,AGS,Augusta Regional Airport (Bush Field),P-N,300598
97,Georgia,Brunswick,KBQK,BQK,BQK,Brunswick Golden Isles Airport,P-N,40443
98,Georgia,Columbus,KCSG,CSG,CSG,Columbus Airport,P-N,49354
99,Georgia,Macon,KMCN,MCN,MCN,Middle Georgia Regional Airport,P-N,15431
100,Georgia,Savannah,KSAV,SAV,SAV,Savannah/Hilton Head International Airport,P-S,1356660
101,Georgia,Valdosta,KVLD,VLD,VLD,Valdosta Regional Airport,P-N,44609
373,Guam,"Hilo, Hawaii",PHTO,ITO,ITO,Hilo International Airport,P-S,599148
102,Hawaii,"Honolulu, Oahu",PHNL,HNL,HNL,Daniel K. Inouye International Airport,P-M,10017149
103,Hawaii,"Kahului, Maui",PHOG,OGG,OGG,Kahului Airport,P-M,3571660
104,Hawaii,"Kailua-Kona, Hawaii",PHKO,KOA,KOA,Ellison Onizuka Kona International Airport at Keahole,P-S,1829020
105,Hawaii,"Kaunakakai, Molokai",PHMK,MKK,MKK,Molokai Airport (Hoolehua Airport),P-N,79336
106,Hawaii,"Lanai City, Lanai",PHNY,LNY,LNY,Lanai Airport,P-N,42061
107,Hawaii,"Lihue, Kauai",PHLI,LIH,LIH,Lihue Airport,P-S,1644590
108,Hawaii,Boise,KBOI,BOI,BOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-M,1943181
109,Idaho,Hailey / Sun Valley,KSUN,SUN,SUN,Friedman Memorial Airport,P-N,93280
110,Idaho,Idaho Falls,KIDA,IDA,IDA,Idaho Falls Regional Airport (Fanning Field),P-N,161019
111,Idaho,Lewiston,KLWS,LWS,LWS,Lewiston–Nez Perce County Airport,P-N,57957
112,Idaho,Pocatello,KPIH,PIH,PIH,Pocatello Regional Airport,P-N,46303
113,Idaho,Twin Falls,KTWF,TWF,TWF,Magic Valley Regional Airport (Joslin Field),P-N,47084
114,Idaho,Belleville,KBLV,BLV,BLV,MidAmerica St. Louis Airport / Scott Air Force Base,P-N,152278
115,Illinois,Bloomington / Normal,KBMI,BMI,BMI,Central Illinois Regional Airport at Bloomington-Normal,P-N,178057
116,Illinois,Champaign / Urbana / Savoy,KCMI,CMI,CMI,University of Illinois - Willard Airport,P-N,109878
117,Illinois,Chicago,KMDW,MDW,MDW,Chicago Midway International Airport,P-L,10678018
118,Illinois,Chicago,KORD,ORD,ORD,Chicago O'Hare International Airport,P-L,39873927
119,Illinois,Marion,KMWA,MWA,MWA,Veterans Airport of Southern Illinois (Williamson County Regional Airport),P-N,11078
120,Illinois,Moline,KMLI,MLI,MLI,Quad City International Airport,P-N,355241
121,Illinois,Peoria,KPIA,PIA,PIA,General Downing-Peoria International Airport,P-N,328769
122,Illinois,Rockford,KRFD,RFD,RFD,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),P-N,106710
123,Illinois,Springfield,KSPI,SPI,SPI,Abraham Lincoln Capital Airport,P-N,776950
124,Illinois,Evansville,KEVV,EVV,EVV,Evansville Regional Airport,P-N,228850
125,Indiana ,Fort Wayne,KFWA,FWA,FWA,Fort Wayne International Airport,P-S,372030
126,Indiana ,Indianapolis,KIND,IND,IND,Indianapolis International Airport,P-M,4655847
127,Indiana ,South Bend,KSBN,SBN,SBN,South Bend International Airport,P-S,366617
128,Indiana ,Cedar Rapids,KCID,CID,CID,Eastern Iowa Airport,P-S,602058
129,Iowa,Des Moines,KDSM,DSM,DSM,Des Moines International Airport,P-S,1347876
130,Iowa,Dubuque,KDBQ,DBQ,DBQ,Dubuque Regional Airport,P-N,38831
131,Iowa,Sioux City,KSUX,SUX,SUX,Sioux Gateway Airport (Brig. General Bud Day Field),P-N,44779
132,Iowa,Waterloo,KALO,ALO,ALO,Waterloo Regional Airport,P-N,23892
133,Iowa,Garden City,KGCK,GCK,GCK,Garden City Regional Airport,P-N,25243
134,Kansas,Hays,KHYS,HYS,HYS,Hays Regional Airport,P-N,11996
135,Kansas,Manhattan,KMHK,MHK,MHK,Manhattan Regional Airport,P-N,72883
136,Kansas,Salina,KSLN,SLN,SLN,Salina Regional Airport,P-N,15977
137,Kansas,Wichita,KICT,ICT,ICT,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),P-S,812252
138,Kansas,Cincinnati/Covington,KCVG,CVG,CVG,Cincinnati/Northern Kentucky International Airport,P-M,4269258
139,Kentucky,Lexington,KLEX,LEX,LEX,Blue Grass Airport,P-S,657018
140,Kentucky,Louisville,KSDF,SDF,SDF,Louisville International Airport (Standiford Field),P-S,1877861
141,Kentucky,Owensboro,KOWB,OWB,OWB,Owensboro–Daviess County Regional Airport,P-N,19532
142,Kentucky,Paducah,KPAH,PAH,PAH,Barkley Regional Airport,P-N,20934
143,Kentucky,Alexandria,KAEX,AEX,AEX,Alexandria International Airport,P-N,141173
144,Louisiana,Baton Rouge,KBTR,BTR,BTR,Baton Rouge Metropolitan Airport (Ryan Field),P-N,390107
145,Louisiana,Lafayette,KLFT,LFT,LFT,Lafayette Regional Airport (Paul Fournet Field),P-N,223529
146,Louisiana,Lake Charles,KLCH,LCH,LCH,Lake Charles Regional Airport,P-N,58122
147,Louisiana,Monroe,KMLU,MLU,MLU,Monroe Regional Airport,P-N,107107
148,Louisiana,New Orleans,KMSY,MSY,MSY,Louis Armstrong New Orleans International Airport,P-M,6582066
149,Louisiana,Shreveport,KSHV,SHV,SHV,Shreveport Regional Airport,P-N,291136
150,Louisiana,Bangor,KBGR,BGR,BGR,Bangor International Airport,P-N,336140
151,Maine,Portland,KPWM,PWM,PWM,Portland International Jetport,P-S,1062873
152,Maine,Presque Isle,KPQI,PQI,PQI,Presque Isle International Airport,P-N,10865
153,Maine,Rockland,KRKD,RKD,RKD,Knox County Regional Airport,P-N,17133
154,Maine,Baltimore,KBWI,BWI,BWI,Baltimore/Washington International Airport,P-L,13284687
155,Maryland,Hagerstown,KHGR,HGR,HGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,29105
156,Maryland,Salisbury,KSBY,SBY,SBY,Salisbury–Ocean City–Wicomico Regional Airport,P-N,70111
157,Maryland,Boston,KBOS,BOS,BOS,Gen. Edward Lawrence Logan International Airport,P-L,20006521
158,Massachusetts,Hyannis,KHYA,HYA,HYA,Cape Cod Gateway Airport (Boardman/Polando Field),P-N,28341
159,Massachusetts,Nantucket,KACK,ACK,ACK,Nantucket Memorial Airport,P-N,126610
160,Massachusetts,Vineyard Haven,KMVY,MVY,MVY,Martha's Vineyard Airport,P-N,52605
161,Massachusetts,Worcester,KORH,ORH,ORH,Worcester Regional Airport,P-N,71631
162,Massachusetts,Alpena,KAPN,APN,APN,Alpena County Regional Airport,P-N,11614
163,Michigan,Detroit,KDTW,DTW,DTW,Detroit Metro Wayne County Airport,P-L,17436837
164,Michigan,Escanaba,KESC,ESC,ESC,Delta County Airport,P-N,18474
165,Michigan,Flint,KFNT,FNT,FNT,Bishop International Airport,P-N,361709
166,Michigan,Grand Rapids,KGRR,GRR,GRR,Gerald R. Ford International Airport,P-S,1631398
167,Michigan,Hancock,KCMX,CMX,CMX,Houghton County Memorial Airport,P-N,24041
168,Michigan,Iron Mountain,KIMT,IMT,IMT,Ford Airport,P-N,19552
169,Michigan,Kalamazoo,KAZO,AZO,AZO,Kalamazoo/Battle Creek International Airport,P-N,152845
170,Michigan,Lansing,KLAN,LAN,LAN,Capital Region International Airport (was Lansing Capital City),P-N,184018
171,Michigan,Marquette,KSAW,SAW,MQT,Sawyer International Airport,P-N,53558
172,Michigan,Muskegon,KMKG,MKG,MKG,Muskegon County Airport,P-N,18718
173,Michigan,Pellston,KPLN,PLN,PLN,Pellston Regional/Emmet County Airport,P-N,25464
174,Michigan,Saginaw,KMBS,MBS,MBS,MBS International Airport,P-N,127627
175,Michigan,Sault Ste. Marie,KCIU,CIU,CIU,Chippewa County International Airport,P-N,23324
176,Michigan,Traverse City,KTVC,TVC,TVC,Cherry Capital Airport (was Cherry County Airpark),P-N,247324
177,Michigan,Bemidji,KBJI,BJI,BJI,Bemidji Regional Airport,P-N,30081
178,Minnesota,Brainerd,KBRD,BRD,BRD,Brainerd Lakes Regional Airport,P-N,22233
179,Minnesota,Duluth,KDLH,DLH,DLH,Duluth International Airport,P-N,136806
180,Minnesota,Hibbing,KHIB,HIB,HIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,17111
181,Minnesota,Minneapolis-St. Paul,KMSP,MSP,MSP,Minneapolis–St. Paul International/Wold-Chamberlain Airport,P-L,18361942
182,Minnesota,Rochester,KRST,RST,RST,Rochester International Airport,P-N,182509
183,Minnesota,St. Cloud,KSTC,STC,STC,St. Cloud Regional Airport,P-N,22464
184,Minnesota,Columbus,KGTR,GTR,GTR,Golden Triangle Regional Airport,P-N,46246
185,Mississippi,Gulfport / Biloxi,KGPT,GPT,GPT,Gulfport–Biloxi International Airport,P-N,359055
186,Mississippi,Hattiesburg / Laurel,KPIB,PIB,PIB,Hattiesburg–Laurel Regional Airport,P-N,9813
187,Mississippi,Jackson,KJAN,JAN,JAN,Jackson–Medgar Wiley Evers International Airport,P-S,489454
188,Mississippi,Meridian,KMEI,MEI,MEI,Key Field,P-N,19332
189,Mississippi,Tupelo,KTUP,TUP,TUP,Tupelo Regional Airport (C.D. Lemons Field),P-N,13557
190,Mississippi,Branson,KBBG,BBG,BKG,Branson Airport,P-N,1601
191,Missouri,Columbia,KCOU,COU,COU,Columbia Regional Airport,P-N,120235
192,Missouri,Fort Leonard Wood / Waynesville,KTBN,TBN,TBN,Waynesville-St. Robert Regional Airport (Forney Field),P-N,7717
193,Missouri,Joplin,KJLN,JLN,JLN,Joplin Regional Airport,P-N,40013
